channels,fitness,test_acc,train_acc,test_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,eval_time_sec,epochs
16-16-16-16-16-32-32-32-32-32-64-64-64-64-64,1.9810211666470452,27.1,24.08,1.8888746433258057,1.9462746215820312,466906,69124736,1.005929066645984,1.0038067692833867,-0.005929066645983916,-0.003806769283386746,7.759882926940918,2
16-12-8-8-8-28-20-24-24-24-64-32-48-64-56,9.004331696812706,24.7,19.92,2.0262020874023436,1.9922033203125,314034,40964656,0.6765728615933505,0.5948753134357766,0.3234271384066495,0.4051246865642234,20.429957151412964,2
8-16-16-8-12-20-16-24-16-16-56-56-48-56-64,1.743451260150531,17.35,21.36,2.516420763015747,2.031160302734375,318026,40170112,0.6851734553617981,0.5833372057793004,0.3148265446382019,0.41666279422069963,14.268298625946045,2
12-16-12-12-8-20-32-24-20-16-48-32-32-40-32,3.5130893698830734,15.25,18.8,2.275657985687256,2.020155859375,185850,35483968,0.4004058997660259,0.5152865579036002,0.5995941002339741,0.48471344209639977,10.659791707992554,2
16-8-16-12-8-24-16-16-20-20-48-56-32-40-64,6.869547002025176,20.3,20.24,2.0771977424621584,1.99003701171875,252282,36696704,0.5435308108946599,0.5328975127744248,0.45646918910534007,0.46710248722557524,5.0465922355651855,2
16-12-8-16-8-28-28-16-16-20-48-64-48-32-56,6.581892756001875,21.4,19.7,1.9887168369293213,1.99348603515625,279906,40333872,0.6030455409196086,0.585715274847627,0.3969544590803914,0.414284725152373,5.768136262893677,2
8-12-8-16-12-28-16-24-28-20-32-56-40-56-64,4.151693842395889,19.05,19.7,2.07521683883667,2.047399169921875,287170,39985792,0.6186955191595893,0.5806605711269189,0.3813044808404107,0.41933942887308107,4.327197313308716,2
16-12-12-12-8-20-20-20-16-16-40-40-56-32-64,8.075451187442226,20.65,19.58,2.013369695663452,2.047574560546875,232106,34763392,0.5000624792633479,0.5048225893094469,0.4999375207366521,0.4951774106905531,4.75554084777832,2
12-12-8-12-8-20-20-20-24-16-64-32-56-64-64,5.883161886595273,21.1,20.08,1.9530638160705567,2.00984365234375,319714,38232704,0.6888101793801196,0.5552028015442695,0.31118982061988043,0.4447971984557305,2.0828893184661865,2
16-12-8-16-8-28-20-20-28-20-40-40-40-32-64,8.781695577596906,21.9,21.5,1.9866943111419677,2.012456201171875,224946,37970560,0.4846365645884771,0.5513960322608826,0.5153634354115229,0.44860396773911737,2.994877815246582,2
16-8-16-12-8-24-20-20-16-20-48-40-32-32-48,6.127141698213854,17.6,18.98,2.272573429107666,2.06585986328125,193266,33550816,0.4163833555242441,0.48721395790620253,0.5836166444757559,0.5127860420937975,2.446133852005005,2
16-12-8-16-8-28-28-24-16-20-48-64-48-56-64,3.6351478737466976,21.0,19.74,2.05783730506897,2.04017548828125,344002,45691520,0.7411376396626982,0.6635172838106356,0.2588623603373018,0.33648271618936443,2.1494174003601074,2
16-12-8-16-8-28-16-16-20-20-48-48-32-32-56,12.974237640250275,25.15,22.06,2.0235939350128174,1.98553935546875,213474,34779696,0.45992062979097453,0.5050593506558684,0.5400793702090254,0.4949406493441316,1.997406005859375,2
16-12-8-8-8-28-20-24-24-24-48-32-48-40-56,6.688630350784781,19.8,18.0,2.035420623779297,2.075569494628906,241282,36323888,0.5198317799695791,0.527483600965819,0.4801682200304209,0.47251639903418097,2.393505096435547,2
16-12-12-16-8-28-20-16-24-24-64-32-48-32-64,7.3430492121130575,22.0,19.02,2.05169366645813,2.00235234375,263330,41239168,0.5673332557728685,0.5988616867631122,0.4326667442271315,0.40113831323688776,2.0787861347198486,2
16-12-8-16-8-28-20-16-20-20-40-48-40-56-56,7.070589106084021,21.0,19.5,1.9631003885269165,2.0302779296875,259082,38318640,0.5581811209210736,0.5564507359815907,0.44181887907892636,0.44354926401840933,2.515934944152832,2
16-12-8-16-8-16-20-20-28-20-40-40-40-32-64,9.610630227850674,22.1,19.36,1.9920074710845947,2.02086181640625,216762,35893888,0.4670044855802169,0.5212392818440525,0.5329955144197831,0.47876071815594745,2.207066059112549,2
16-12-8-16-8-28-20-24-20-20-48-48-48-64-56,4.860782820081536,20.75,17.8,1.9981140880584716,2.084885791015625,307194,42558000,0.6618363732726639,0.6180133329863622,0.33816362672733613,0.3819866670136378,1.9603571891784668,2
16-12-8-16-8-28-20-24-16-24-40-32-48-56-40,5.015049039234191,18.35,19.28,2.024256477355957,2.041365576171875,235634,37908880,0.5076634048182285,0.5505003355087186,0.49233659518177153,0.4494996644912814,2.4356398582458496,2
16-12-8-8-8-28-20-24-28-24-64-32-48-32-56,6.391882252791369,20.3,18.94,2.0159735908508303,2.01630771484375,257978,38330928,0.5558025999991382,0.5566291782917494,0.44419740000086183,0.4433708217082506,1.9622185230255127,2
16-16-12-16-8-28-20-16-24-24-64-32-48-32-64,6.049608185827096,21.2,20.22,1.9770752811431884,2.004479150390625,265362,43303552,0.571711113121938,0.6288399948697836,0.428288886878062,0.3711600051302164,2.0422797203063965,2
16-12-8-8-8-28-20-24-16-24-64-32-48-64-64,4.297017420618591,19.9,18.28,1.978284387588501,2.045340771484375,318178,40157824,0.6855009328800356,0.5831587634691415,0.31449906711996445,0.41684123653085847,1.7753956317901611,2
16-12-8-16-8-28-28-16-20-24-56-40-32-32-56,11.274257576992891,24.55,20.76,2.000886953353882,2.03066025390625,230066,38187568,0.49566738625542384,0.5545473513398973,0.5043326137445762,0.4454526486601027,2.574871063232422,2
16-12-8-16-8-28-20-16-20-20-64-32-48-32-56,7.416575971279227,20.75,21.78,2.200972141265869,2.018865637207031,242314,37241392,0.522055179961823,0.540807293457673,0.47794482003817695,0.459192706542327,2.2884817123413086,2
16-12-8-16-12-24-16-16-20-20-48-32-32-32-56,6.905128303390812,18.45,20.66,2.1356247310638428,2.00020439453125,189858,34218544,0.40904096485218266,0.49691048515861846,0.5909590351478173,0.5030895148413815,2.4143121242523193,2
16-16-8-16-8-16-16-16-28-20-48-40-40-32-64,7.945247377428727,20.85,20.28,2.168023719787598,2.022823046875,225354,36950656,0.48551558319006194,0.5365853205177058,0.5144844168099381,0.4634146794822942,2.450948715209961,2
16-12-8-16-8-28-28-24-24-24-64-40-48-64-56,1.1606303850617432,18.65,19.8,2.285328624725342,2.07812099609375,338266,46830128,0.7287796722639469,0.680051776151557,0.2712203277360531,0.319948223848443,2.3887500762939453,2
12-12-8-16-8-28-16-24-28-20-64-32-48-32-64,8.028204863664312,22.05,19.92,1.9945429067611695,2.0090766357421876,261802,38474368,0.5640412449316391,0.5587121669773917,0.4359587550683609,0.4412878330226083,2.1005470752716064,2
8-8-8-16-8-28-28-16-20-24-56-40-32-32-56,6.647870757542572,18.65,20.98,2.0983651638031007,2.0191906005859375,224794,32862768,0.4843090870702396,0.4772223502711022,0.5156909129297604,0.5227776497288978,2.1093530654907227,2
12-12-8-8-8-20-16-20-20-16-56-40-32-40-64,10.249285747778712,21.7,20.1,2.0929154567718506,2.01221083984375,228770,29938304,0.49287520952097796,0.4347542421871079,0.507124790479022,0.5652457578128921,1.9455726146697998,2
8-8-8-12-8-20-20-16-20-16-48-32-40-48-64,10.741429922241633,21.85,22.22,2.181693370819092,1.99113076171875,229122,28332672,0.49363357851058054,0.4114377803263635,0.5063664214894195,0.5885622196736364,2.002763271331787,2
12-12-12-8-12-24-16-20-20-16-48-32-40-40-64,8.461317646767432,20.3,19.34,2.041253936767578,2.02743173828125,220562,32531072,0.47519142353615396,0.4724055696306058,0.524808576463846,0.5275944303693942,2.053720235824585,2
8-8-8-12-8-20-16-16-16-20-40-32-40-40-64,11.097099523323479,21.05,20.84,2.0526112594604493,1.9855367553710936,200578,25850496,0.43213674771735244,0.3753924336742945,0.5678632522826476,0.6246075663257056,1.9394831657409668,2
12-8-8-12-8-20-20-16-16-16-48-40-40-48-56,11.873917069975144,23.1,19.96,1.977121202468872,2.01863056640625,225714,29209136,0.4862911878385191,0.4241655033838982,0.5137088121614809,0.5758344966161018,2.065502643585205,2
12-8-12-8-8-20-20-16-16-16-48-32-40-40-64,10.834237270085032,21.55,20.48,1.9466250219345094,2.001372998046875,211346,28287616,0.4553359445356498,0.41078349185578145,0.5446640554643503,0.5892165081442186,1.9527201652526855,2
12-8-12-8-8-24-20-16-16-16-48-40-40-48-64,11.136950628552515,23.05,22.88,1.9088433771133422,1.991746923828125,241490,30802560,0.5202799070997988,0.4473046846682739,0.47972009290020123,0.5526953153317261,2.0400912761688232,2
12-8-8-8-8-20-20-16-16-16-48-40-32-40-64,15.618205816182286,26.05,19.96,1.9403196477890015,2.0365630859375,212122,26907264,0.45700780344454645,0.3907384723479476,0.5429921965554536,0.6092615276520523,1.9171924591064453,2
8-8-8-8-8-20-20-16-16-16-48-40-40-40-64,14.200590119447407,24.5,23.32,2.1867733917236327,1.983994189453125,218610,25657984,0.4709859227756305,0.3725968374818073,0.5290140772243694,0.6274031625181927,1.79427170753479,2
12-12-8-8-8-24-20-20-16-16-48-48-32-40-64,15.90445381032451,27.5,24.86,1.8574420642852782,1.92370126953125,229738,30507648,0.4949607242423851,0.4430220692244637,0.505039275757615,0.5569779307755363,1.8237266540527344,2
12-8-8-12-8-20-20-16-16-16-48-40-32-40-64,7.702965530201502,18.5,20.78,2.109624973297119,2.024116796875,213666,28430976,0.46033428560348505,0.4128653188076336,0.5396657143965149,0.5871346811923663,2.1354949474334717,2
12-8-8-12-8-20-20-16-16-16-48-40-40-40-64,7.757925538406998,18.85,21.1,2.1421337394714355,2.0338827392578125,221938,28967552,0.4781559568591459,0.42065729968456606,0.5218440431408541,0.5793427003154339,1.9661931991577148,2
12-8-8-8-8-24-20-20-16-16-48-40-32-40-64,12.726110707161672,23.6,20.32,1.9369928741455078,2.00214521484375,217898,28365440,0.4694519491375707,0.4119136264867869,0.5305480508624293,0.5880863735132131,1.9962124824523926,2
